"","logFC","logCPM","LR","PValue","FDR"
"211058_x_at",-5.55612170138466,8.34720064989562,14354.6955230185,0,0
"212639_x_at",-5.55508651788539,8.33829341653996,10535.8318462896,0,0
"204326_x_at",-5.55277696151819,7.87993903417873,3413.11029943981,0,0
"221700_s_at",-5.54845705666951,8.30828402809347,3394.18550318484,0,0
"213453_x_at",-5.54117210382841,8.41932507914013,8685.52751601718,0,0
"201022_s_at",-5.53423095668775,8.23330488418505,5873.36009839553,0,0
"200912_s_at",-5.52602266808213,8.22305187873542,12768.2960214347,0,0
"208836_at",-5.52371266024536,8.19746132753322,7337.05509594897,0,0
"200004_at",-5.52352585688784,8.23450343651149,3359.36643936167,0,0
"200773_x_at",-5.52339895460292,8.24762261676123,5066.88515238795,0,0
"212130_x_at",-5.52198587040207,8.23873065997794,2165.15176951209,0,0
"209211_at",-5.50164230199709,7.07528594153659,1847.92586825106,0,0
"201012_at",-5.49859199056967,8.01863949016419,2206.75036488749,0,0
"202021_x_at",-5.49688362976465,8.22533880355264,1996.847263958,0,0
"211939_x_at",-5.47969447869655,8.2525285307166,4550.38006383314,0,0
"200063_s_at",-5.47701111106679,8.30536011253198,13721.7641690924,0,0
"217466_x_at",-5.46992686452757,8.12717873652637,1959.98936543259,0,0
"213187_x_at",-5.46360661129633,8.26521473196743,1721.55061384673,0,0
"200715_x_at",-5.45669169736799,8.19537607431752,4722.53055293124,0,0
"200872_at",-5.45149181517055,8.15905557155383,2017.1429486821,0,0
"204670_x_at",-5.44473408998449,7.66088713210141,2113.99989116513,0,0
"202688_at",-5.43583469205615,6.95105169373895,3063.41489178654,0,0
"214722_at",-5.43477805190919,7.88857714087806,4620.45948832442,0,0
"AFFX-HUMGAPDH/M33197_M_at",-5.43000649181757,8.33110950905015,6186.32055189833,0,0
"212063_at",-5.41990233170977,8.09650633454065,8597.80451649556,0,0
"200650_s_at",-5.41470437500334,8.24469059504159,12781.4052204988,0,0
"214394_x_at",-5.41083964216067,8.14726223390277,5759.34697372918,0,0
"200077_s_at",-5.40931937839653,8.26191032781595,6660.35929240987,0,0
"225155_at",-5.40730443259328,8.09012487993422,4311.3507058359,0,0
"208724_s_at",-5.40556728439333,8.17552045713397,9667.06224530113,0,0
"211600_at",-5.40128253272114,8.04577646042492,2588.51458945378,0,0
"200074_s_at",-5.39992130561456,8.16892456377976,11934.2556264501,0,0
"200718_s_at",-5.39821160673311,8.17114171119442,10602.165315942,0,0
"202428_x_at",-5.39751355474362,8.16107026561915,2477.68436890604,0,0
"209619_at",-5.39055190049316,7.66758101521942,1764.94034590686,0,0
"AFFX-HUMGAPDH/M33197_5_at",-5.3737800329389,8.27982917379528,5269.90243549288,0,0
"213646_x_at",-5.36806290694478,8.2222435188437,11174.3241610381,0,0
"217801_at",-5.36583776499545,8.1702666943796,3056.82093327142,0,0
"213881_x_at",-5.35997327674639,8.14169781576476,11504.7387602578,0,0
"217728_at",-5.34839228459454,8.06953615199652,2131.78911064297,0,0
"201005_at",-5.34401473178162,7.90811366780126,6421.52775262423,0,0
"200680_x_at",-5.34359312059122,8.15862028660563,3575.40800092438,0,0
"214548_x_at",-5.32875524979786,8.13622371813688,4980.36357400843,0,0
"232541_at",-5.32411862247822,6.85083730662078,2662.89843074623,0,0
"212071_s_at",-5.3175788578502,8.07526201621493,1758.40401471697,0,0
"212593_s_at",-5.29358078071656,7.79731003687257,2302.295357551,0,0
"211072_x_at",-5.29357395575119,8.17409843683339,11758.8285563986,0,0
"208729_x_at",-5.29157512446318,7.91800371232975,1723.40140354436,0,0
"200059_s_at",-5.29089936839111,8.09934163461582,5614.5234643737,0,0
"208697_s_at",-5.27942491611532,8.08756484416445,10815.1191102111,0,0
"208517_x_at",-5.27069583642121,8.11222337666933,2586.66104286292,0,0
"226810_at",-5.26216350464641,7.36410888800408,2824.05404819746,0,0
"231579_s_at",-5.2554425908671,8.02046704012963,2220.81347208652,0,0
"200871_s_at",-5.25167814490759,8.05643989385886,2935.25960201185,0,0
"1552544_at",-5.24686801057078,6.91711676711892,3696.99215411644,0,0
"201324_at",-5.24038634699555,7.82904840531235,1914.71952224523,0,0
"214938_x_at",-5.23728537015923,8.0871244480328,2262.56575736967,0,0
"200696_s_at",-5.23427598269498,7.92600206296101,5200.89249860594,0,0
"201812_s_at",-5.22947507308992,8.0664473893841,5884.04701881674,0,0
